name,address,latitude,longitude
Pangeran Diponegoro Statue,"Jl. Nasional 14 No.76-84, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",-7.0486122,110.4198681
Muladi Dome - Diponegoro University Convention Center,"Jl. Prof. Soedarto No.50239, RW.4, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0534169,110.4329747
Semarang State Polytechnic,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0521006,110.4353347
Gedung Kuliah Terpadu POLINES Ir. Ign. Darmojo,"Tembalang, Semarang City, Central Java 50275",-7.0515909,110.4336979
POLINES TN Canteen,"Jl. Banyu Putih Raya No.14, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0515103,110.4341777
Lapangan Hijau Polines,"Jl. Banyu Putih Raya No.14, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0525405,110.434056
Kantin Sekolah Vokasi Undip,"Jl. Banyu Putih Raya No.14, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0508538,110.4350236
Lapangan Tembak Tembalang,"Jl. Mangunharjo No.1, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0478905,110.4464522
Dekanat Sekolah Vokasi Universitas Diponegoro,"Jl. Gubernur Mochtar, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0504063,110.4356673
Fakultas Ilmu Sosial dan Ilmu Politik (FISIP) UNDIP,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50139",-7.0517602,110.4373601
Faculty of Law Universitas Diponegoro,"Jl. Dr. Antonius Suroyo, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0512588,110.4364985
Fakultas Ilmu Budaya Universitas Diponegoro,"Jl. Dr. Antonius Suroyo, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0502702,110.4363925
Widya Puraya UNDIP,"Tembalang, Semarang City, Central Java 50275",-7.0492826,110.4383814
Diponegoro University Rectorate,"Diponegoro University, Univ Jl. Prof. H. Soedarto, S.H., Tembalang, Semarang City, Central Java 50275",-7.0488231,110.4380076
Art Center Universitas Diponegoro,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0496896,110.437746
Library and UNDIP Press,"  Komplek Gedung Widya Puraya, Jl. Prof. Soedarto SH, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0483571,110.4378301
Electrical Engineering Diponegoro University,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0497917,110.4399455
Urban and Regional Planning Department Diponegoro University,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0515898,110.4389465
"Gedung Auditorium Prof. Soedarto, S.H.","Prof. Soedharto Building, Tembalang, Semarang City, Central Java 50275",-7.0528382,110.4400642
Gedung ICT Undip,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0544358,110.4390178
Faculty of Economics and Business Diponegoro University,"Tembalang, Semarang City, Central Java 50275",-7.0470759,110.4417576
Rumah Sakit Nasional Diponegoro,"Tembalang, Semarang City, Central Java 50275",-7.0478033,110.4436218
Fakultas Kedokteran (FK) UNDIP,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0494635,110.4445947
Faculty of Public Health Universitas Diponegoro,"Jl. Prof. Jacub Rais, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0493931,110.4428137
Faculty of Fisheries and Marine Sciences Diponegoro University,"Jl. Prof. Jacub Rais, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0504446,110.4424751
Teknik Mesin Universitas Diponegoro,"Jl. Prof. Jacub Rais, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0502383,110.4417965
Faculty of Animal and Agricultural Sciences Universitas Diponegoro,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah",-7.0526652,110.4416951
Stadion Universitas Diponegoro,"Jl. Prof. Soedarto, SH, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",-7.0546816,110.4458515
Kompleks Rusunawa UNDIP,"Jl. Prof. Soedarto, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",-7.0550833,110.4440412
Polytechnic of Public Works,"Jl. Prof. Soedarto No.15, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.056172,110.4422666
Masjid Kampus Universitas Diponegoro,"Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",-7.0551738,110.4370363
